Title,Plan Number,Plan,Plan Version,Amount,Effective,Ended,Per,Comment,Rate Type,Dwelling,1 BR Unit,2 BR Unit,3 BR Unit,4+BR Unit,Trips,Work in progress,Strikeout,Applies to,AppliesTo,1ET,BaseRate,BaseRateDate,1ETBaseRate,BaseRateDwelling,CombinedForLookup,ChargeControl,ChargeMultiplier,Overrides,Autotext
"Sector 05-Terranora","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6","1,988","1/02/2012 12:00 AM","30/06/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","12,922",,,,,"2012-4-Sector 05-Terranora",,,,
"Sector 05-LAC1:Area E","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6","1,988","1/02/2012 12:00 AM","30/06/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","12,922",,,,,"2012-4-Sector 05-LAC1:Area E",,,,
"Sector 06-Kingscliff","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6","1,137","1/02/2012 12:00 AM","30/06/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,391",,,,,"2012-4-Sector 06-Kingscliff",,,,
"Sector 07-Duranbah/Cab","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6","1,145","1/02/2012 12:00 AM","30/06/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,443",,,,,"2012-4-Sector 07-Duranbah/Cab",,,,
"Sector 07-LAC2:Kings Forest","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6","1,145","1/02/2012 12:00 AM","30/06/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,443",,,,,"2012-4-Sector 07-LAC2:Kings Forest",,,,
"Sector 07-LAC4:Casuarina","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6","1,313","1/02/2012 12:00 AM","30/06/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,535",,,,,"2012-4-Sector 07-LAC4:Casuarina",,,,
"Sector 09-Murwillumbah","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6","1,317","1/02/2012 12:00 AM","30/06/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,561",,,,,"2012-4-Sector 09-Murwillumbah",,,,
"Sector 10-Rural Inner East","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6","1,807","1/02/2012 12:00 AM","30/06/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","11,746",,,,,"2012-4-Sector 10-Rural Inner East",,,,
"Sector 08-LAC3:Koala Beach/Seabreeze","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6","1,352","1/02/2012 12:00 AM","30/06/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,788",,,,,"2012-4-Sector 08-LAC3:Koala Beach/Seabreeze",,,,
"Sector 08-Pottsville","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6","1,284","1/02/2012 12:00 AM","30/06/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,346",,,,,"2012-4-Sector 08-Pottsville",,,,
"Sector 11-Burringbar","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6","1,252","1/02/2012 12:00 AM","30/06/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,138",,,,,"2012-4-Sector 11-Burringbar",,,,
"Sector 12a-Rural Inner North","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6","2,928","1/02/2012 12:00 AM","30/06/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","19,032",,,,,"2012-4-Sector 12a-Rural Inner North",,,,
"Sector 12b-Rural Inner West","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6","2,239","1/02/2012 12:00 AM","30/06/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","14,554",,,,,"2012-4-Sector 12b-Rural Inner West",,,,
"Sector 13-Rural Other","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6","2,534","1/02/2012 12:00 AM","30/06/2012 12:00 AM","Trip",,"Base rate","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","16,471",,,,,"2012-4-Sector 13-Rural Other",,,,
"Sector 01-Tweed Heads","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.1","822","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","5,343",,,,,"2012-4-Sector 01-Tweed Heads",,,,
"Sector 02-Tweed Heads South","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.1","1,329","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,639",,,,,"2012-4-Sector 02-Tweed Heads South",,,,
"Sector 03-Cobaki","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.1","1,389","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","9,029",,,,,"2012-4-Sector 03-Cobaki",,,,
"Sector 04-Bilambil Heights","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.1","2,860","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","18,590",,,,,"2012-4-Sector 04-Bilambil Heights",,,,
"Sector 05-Terranora","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.1","2,005","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","13,033",,,,,"2012-4-Sector 05-Terranora",,,,
"Sector 05-LAC1:Area E","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.1","2,005","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","13,033",,,,,"2012-4-Sector 05-LAC1:Area E",,,,
"Sector 06-Kingscliff","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.1","1,137","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,391",,,,,"2012-4-Sector 06-Kingscliff",,,,
"Sector 07-Duranbah/Cab","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.1","1,145","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,443",,,,,"2012-4-Sector 07-Duranbah/Cab",,,,
"Sector 07-LAC2:Kings Forest","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.1","1,145","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,443",,,,,"2012-4-Sector 07-LAC2:Kings Forest",,,,
"Sector 07-LAC4:Casuarina","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.1","1,324","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,606",,,,,"2012-4-Sector 07-LAC4:Casuarina",,,,
"Sector 09-Murwillumbah","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.1","1,328","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,632",,,,,"2012-4-Sector 09-Murwillumbah",,,,
"Sector 10-Rural Inner East","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.1","1,822","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","11,843",,,,,"2012-4-Sector 10-Rural Inner East",,,,
"Sector 08-LAC3:Koala Beach/Seabreeze","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.1","1,328","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,632",,,,,"2012-4-Sector 08-LAC3:Koala Beach/Seabreeze",,,,
"Sector 08-Pottsville","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.1","1,295","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,418",,,,,"2012-4-Sector 08-Pottsville",,,,
"Sector 11-Burringbar","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.1","1,263","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,210",,,,,"2012-4-Sector 11-Burringbar",,,,
"Sector 12a-Rural Inner North","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.1","2,953","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","19,195",,,,,"2012-4-Sector 12a-Rural Inner North",,,,
"Sector 12b-Rural Inner West","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.1","2,258","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","14,677",,,,,"2012-4-Sector 12b-Rural Inner West",,,,
"Sector 13-Rural Other","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.1","2,555","1/07/2012 12:00 AM","30/06/2013 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","16,608",,,,,"2012-4-Sector 13-Rural Other",,,,
"Sector 01-Tweed Heads","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.2","844","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","5,486",,,,,"2013-4-Sector 01-Tweed Heads",,,,
"Sector 02-Tweed Heads South","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.2","1,365","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,873",,,,,"2013-4-Sector 02-Tweed Heads South",,,,
"Sector 03-Cobaki","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.2","1,426","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","9,269",,,,,"2013-4-Sector 03-Cobaki",,,,
"Sector 04-Bilambil Heights","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.2","2,937","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","19,091",,,,,"2013-4-Sector 04-Bilambil Heights",,,,
"Sector 05-Terranora","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.2","2,059","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","13,384",,,,,"2013-4-Sector 05-Terranora",,,,
"Sector 05-LAC1:Area E","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.2","2,059","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","13,384",,,,,"2013-4-Sector 05-LAC1:Area E",,,,
"Sector 06-Kingscliff","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.2","1,176","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,644",,,,,"2013-4-Sector 06-Kingscliff",,,,
"Sector 07-Duranbah/Cab","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.2","1,186","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,709",,,,,"2013-4-Sector 07-Duranbah/Cab",,,,
"Sector 07-LAC2:Kings Forest","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.2","1,176","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,644",,,,,"2013-4-Sector 07-LAC2:Kings Forest",,,,
"Sector 07-LAC4:Casuarina","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.2","1,360","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,840",,,,,"2013-4-Sector 07-LAC4:Casuarina",,,,
"Sector 09-Murwillumbah","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.2","1,364","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,866",,,,,"2013-4-Sector 09-Murwillumbah",,,,
"Sector 10-Rural Inner East","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.2","1,871","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","12,162",,,,,"2013-4-Sector 10-Rural Inner East",,,,
"Sector 08-LAC3:Koala Beach/Seabreeze","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.2","1,400","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","9,100",,,,,"2013-4-Sector 08-LAC3:Koala Beach/Seabreeze",,,,
"Sector 08-Pottsville","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.2","1,330","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,645",,,,,"2013-4-Sector 08-Pottsville",,,,
"Sector 11-Burringbar","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.2","1,296","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,424",,,,,"2013-4-Sector 11-Burringbar",,,,
"Sector 12a-Rural Inner North","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.2","3,032","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","19,708",,,,,"2013-4-Sector 12a-Rural Inner North",,,,
"Sector 12b-Rural Inner West","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.2","2,318","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","15,067",,,,,"2013-4-Sector 12b-Rural Inner West",,,,
"Sector 13-Rural Other","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.0.2","2,624","1/07/2013 12:00 AM","30/06/2014 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","17,056",,,,,"2013-4-Sector 13-Rural Other",,,,
"Sector 01-Tweed Heads","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.3","853","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","5,545",,,,,"2014-4-Sector 01-Tweed Heads",,,,
"Sector 02-Tweed Heads South","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.3","1,380","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,970",,,,,"2014-4-Sector 02-Tweed Heads South",,,,
"Sector 03-Cobaki","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.3","1,442","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","9,373",,,,,"2014-4-Sector 03-Cobaki",,,,
"Sector 04-Bilambil Heights","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.3","2,969","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","19,299",,,,,"2014-4-Sector 04-Bilambil Heights",,,,
"Sector 05-Terranora","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.3","2,081","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","13,527",,,,,"2014-4-Sector 05-Terranora",,,,
"Sector 05-LAC1:Area E","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.3","2,081","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","13,527",,,,,"2014-4-Sector 05-LAC1:Area E",,,,
"Sector 06-Kingscliff","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.3","1,189","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,729",,,,,"2014-4-Sector 06-Kingscliff",,,,
"Sector 07-Duranbah/Cab","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.3","1,199","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,794",,,,,"2014-4-Sector 07-Duranbah/Cab",,,,
"Sector 07-LAC2:Kings Forest","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.3","1,189","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,729",,,,,"2014-4-Sector 07-LAC2:Kings Forest",,,,
"Sector 07-LAC4:Casuarina","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.3","1,375","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,938",,,,,"2014-4-Sector 07-LAC4:Casuarina",,,,
"Sector 09-Murwillumbah","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.3","1,379","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,964",,,,,"2014-4-Sector 09-Murwillumbah",,,,
"Sector 10-Rural Inner East","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.3","1,892","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","12,298",,,,,"2014-4-Sector 10-Rural Inner East",,,,
"Sector 08-LAC3:Koala Beach/Seabreeze","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.3","1,415","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","9,198",,,,,"2014-4-Sector 08-LAC3:Koala Beach/Seabreeze",,,,
"Sector 08-Pottsville","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.3","1,344","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,736",,,,,"2014-4-Sector 08-Pottsville",,,,
"Sector 11-Burringbar","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.3","1,311","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,522",,,,,"2014-4-Sector 11-Burringbar",,,,
"Sector 12a-Rural Inner North","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.3","3,065","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","19,923",,,,,"2014-4-Sector 12a-Rural Inner North",,,,
"Sector 12b-Rural Inner West","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.3","2,344","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","15,236",,,,,"2014-4-Sector 12b-Rural Inner West",,,,
"Sector 13-Rural Other","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.3","2,653","1/07/2014 12:00 AM","30/06/2015 12:00 AM","Trip",,"Indexed","6.5",,,,,,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","17,245",,,,,"2014-4-Sector 13-Rural Other",,,,
"Sector 01-Tweed Heads","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.4","857","1/07/2015 12:00 AM","30/06/2016 12:00 AM","Trip",,"Indexed","6.5","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","5,571",,,,,"2015-4-Sector 01-Tweed Heads",,,,
"Sector 02-Tweed Heads South","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.4","1,387","1/07/2015 12:00 AM","30/06/2016 12:00 AM","Trip",,"Indexed","6.5","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","9,016",,,,,"2015-4-Sector 02-Tweed Heads South",,,,
"Sector 03-Cobaki","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.4","1,449","1/07/2015 12:00 AM","30/06/2016 12:00 AM","Trip",,"Indexed","6.5","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","9,419",,,,,"2015-4-Sector 03-Cobaki",,,,
"Sector 04-Bilambil Heights","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.4","2,983","1/07/2015 12:00 AM","30/06/2016 12:00 AM","Trip",,"Indexed","6.5","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","19,390",,,,,"2015-4-Sector 04-Bilambil Heights",,,,
"Sector 05-Terranora","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.4","2,091","1/07/2015 12:00 AM","30/06/2016 12:00 AM","Trip",,"Indexed","6.5","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","13,592",,,,,"2015-4-Sector 05-Terranora",,,,
"Sector 05-LAC1:Area E","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.4","2,091","1/07/2015 12:00 AM","30/06/2016 12:00 AM","Trip",,"Indexed","6.5","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","13,592",,,,,"2015-4-Sector 05-LAC1:Area E",,,,
"Sector 06-Kingscliff","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.4","1,195","1/07/2015 12:00 AM","30/06/2016 12:00 AM","Trip",,"Indexed","6.5","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,768",,,,,"2015-4-Sector 06-Kingscliff",,,,
"Sector 07-Duranbah/Cab","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.4","1,205","1/07/2015 12:00 AM","30/06/2016 12:00 AM","Trip",,"Indexed","6.5","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","7,833",,,,,"2015-4-Sector 07-Duranbah/Cab",,,,
"Sector 07-LAC2:Kings Forest","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.4","1,381","1/07/2015 12:00 AM","30/06/2016 12:00 AM","Trip",,"Indexed","6.5","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","8,977",,,,,"2015-4-Sector 07-LAC2:Kings Forest",,,,
"Sector 07-LAC4:Casuarina","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.4","1,395","1/07/2015 12:00 AM","30/06/2016 12:00 AM","Trip",,"Indexed","6.5","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","9,068",,,,,"2015-4-Sector 07-LAC4:Casuarina",,,,
"Sector 09-Murwillumbah","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.4","1,385","1/07/2015 12:00 AM","30/06/2016 12:00 AM","Trip",,"Indexed","6.5","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","9,003",,,,,"2015-4-Sector 09-Murwillumbah",,,,
"Sector 10-Rural Inner East","4","Contribution Plan No 4 - Tweed Road Contribution Plan","6.2.4","1,901","1/07/2015 12:00 AM","30/06/2016 12:00 AM","Trip",,"Indexed","6.5","1.3","1.7","2.1","2.4",,,,"[""Residential; Tourist; Commercial""]","Residential; Tourist; Commercial","12,357",,,,,"2015-4-Sector 10-Rural Inner East",,,,
